country,Mortality,Newborn,CO2,GDPpp,Income,LifeExp,Population
Afghanistan,86.4,5.6,0.412,569,1660,56.7,29700000
Albania,16,1.67,1.79,4210,10200,76.7,2930000
Algeria,26.6,2.93,3.29,4500,13000,76.7,36800000
Angola,111,6.08,1.25,3540,5910,60.9,24200000
Antigua and Barbuda,9.9,2.12,5.36,11800,18600,76.9,95700
Argentina,13.9,2.36,4.6,10800,19600,76,41700000
Armenia,17.2,1.5,1.71,3370,7020,73.8,2880000
Australia,4.6,1.92,17.4,52500,41800,82.2,22500000
Austria,4.2,1.44,7.69,48100,44200,80.7,8460000
Azerbaijan,37.4,2.01,3.66,5770,15800,69.9,9150000
Bahamas,13.2,1.85,5.09,27700,22700,73.8,367000
Bahrain,8.3,2.12,22.4,20500,40700,76.2,1280000
Bangladesh,46.5,2.24,0.412,797,2570,71,154000000
Barbados,13.9,1.79,5.45,16000,15400,76.7,281000
Belarus,5.1,1.58,6.77,6380,17200,70.7,9470000
Belgium,4.4,1.8,9.08,44600,41200,80.2,11000000
Belize,18.2,2.68,1.83,4330,7860,71.5,329000
Benin,109,5.31,0.56,759,1820,62.2,9460000
Bhutan,40.4,2.31,0.99,2310,6810,72.5,741000
Bolivia,44.6,3.13,1.6,2050,5600,71.9,10100000
Bosnia and Herzegovina,6.6,1.31,6.48,4700,9890,76.9,3690000
Botswana,51.7,2.88,2.04,6610,13900,58.9,2050000
Brazil,18.9,1.79,2.21,11600,15000,74.4,199000000
Brunei,10.4,1.86,24.6,36100,82400,77,394000
Bulgaria,10.4,1.5,6.71,7020,15700,74.3,7360000
Burkina Faso,110,5.78,0.138,595,1470,58.4,16100000
Burundi,89.1,6.16,0.0268,234,772,58.2,9040000
Cambodia,41.1,2.81,0.358,828,2660,66.6,14500000
Cameroon,103,5.05,0.281,1330,2690,57.7,20500000
Canada,5.5,1.63,15.6,48500,41600,81.5,34500000
Cape Verde,25.7,2.59,1.21,3410,5990,72.7,508000
Central African Republic,145,5.17,0.0623,458,912,48,4480000
Chad,146,6.48,0.0439,868,1860,57,12300000
Chile,8.6,1.86,4.62,13500,20400,79.5,17200000
China,14.6,1.59,7.12,4970,10400,75.1,1370000000
Colombia,18,1.98,1.65,6590,11500,77,46400000
Comoros,85.5,4.82,0.192,770,1420,65.6,707000
"Congo, Dem. Rep.",112,6.42,0.0374,345,630,58,66700000
"Congo, Rep.",61.3,4.92,0.501,2750,5210,61.1,4510000
Costa Rica,10.1,1.89,1.68,8450,13400,80.5,4600000
Cote d'Ivoire,108,5.18,0.347,1140,2510,56.9,20900000
Croatia,5.3,1.48,4.59,13900,20700,76.6,4310000
Cuba,6,1.66,3.17,5820,18800,78.5,11400000
Cyprus,3.4,1.41,6.6,30100,33200,80.2,1120000
Czech Republic,3.2,1.48,10.1,20100,28800,77.8,10600000
Denmark,4.1,1.76,7.28,58600,44400,79.8,5580000
Djibouti,74.4,3.21,0.546,NA,2710,64.2,866000
Dominican Republic,33.9,2.57,2.12,5550,11300,74.7,10000000
Ecuador,24.4,2.63,2.54,4940,9930,77,15200000
Egypt,27.9,3.25,2.53,2590,9820,70.9,85900000
El Salvador,18.3,2.22,1.07,3090,7430,74.3,6190000
Equatorial Guinea,107,5.13,6.16,17500,34400,61.4,994000
Eritrea,53.1,4.53,0.133,514,1510,62,4470000
Estonia,4.2,1.63,14,15800,24500,76.3,1330000
Ethiopia,76.2,4.8,0.0858,370,1160,62.2,90000000
Fiji,23.9,2.64,1.26,3720,7490,65.5,867000
Finland,2.9,1.83,10.5,47200,40700,80.3,5390000
France,4.2,1.99,5.24,41300,37500,81.7,63300000
Gabon,61,4.05,2.93,9060,15900,63.3,1700000
Gambia,77.4,5.68,0.256,522,1540,66,1750000
Georgia,15.3,1.95,1.91,3220,7320,73,4170000
Germany,4.1,1.41,9.05,44100,42700,80.3,80900000
Ghana,71.7,4.23,0.391,1460,3400,62.9,25100000
Greece,3.9,1.39,6.99,24500,26100,80.5,11400000
Grenada,14.7,2.22,2.41,7390,11200,71.3,105000
Guatemala,34.1,3.29,0.792,2880,6840,71.5,14900000
Guinea,106,5.26,0.252,669,1210,58.5,11000000
Guinea-Bissau,109,4.99,0.154,576,1490,56.2,1600000
Guyana,36.9,2.63,2.38,3190,6130,65.7,749000
Haiti,77.2,3.25,0.219,689,1560,60.5,10100000
Honduras,22.5,2.78,1.07,1970,4050,71.8,8350000
Hungary,5.8,1.33,4.83,13300,22700,74.9,9900000
Iceland,2.5,2.04,5.82,42500,39500,82.1,323000
India,55.9,2.53,1.48,1420,4640,66.6,1250000000
Indonesia,31.9,2.47,2.46,3260,8840,70.2,246000000
Iran,18.4,1.76,7.8,6620,17900,74.8,75500000
Iraq,36,4.56,4.24,4700,13300,67.6,31700000
Ireland,4.1,2,7.64,49900,45500,80.5,4660000
Israel,4.4,3.01,9.13,31500,30500,81.6,7570000
Italy,3.9,1.43,6.66,36000,36300,81.8,59800000
Jamaica,17.7,2.14,2.78,4740,8100,74.8,2830000
Japan,3.4,1.39,9.27,44500,35800,82.6,129000000
Jordan,20.5,3.64,2.86,3580,9210,76.1,7570000
Kazakhstan,19.3,2.7,15.6,9600,21300,69,16600000
Kenya,59.8,4.27,0.317,999,2560,63.8,42500000
Kiribati,61.5,3.82,0.596,1470,1710,60.8,105000
Kuwait,10.4,2.15,28.5,39700,77500,78.9,3190000
Kyrgyz Republic,27.8,3.04,1.39,921,2920,69.1,5510000
Lao,76,3.06,0.256,1220,4240,64.6,6330000
Latvia,7.3,1.51,3.49,12300,19800,73.6,2090000
Lebanon,9.8,1.64,4.46,8450,15700,79,4590000
Lesotho,98,3.28,1.13,1240,2500,47.5,2060000
Liberia,84.6,4.94,0.219,344,734,61.4,4070000
Libya,17.5,2.4,6.41,4580,11200,61,6190000
Lithuania,5.5,1.54,4.48,13000,22900,73.5,3080000
Luxembourg,2.8,1.57,21,105000,92000,81.5,520000
"Macedonia, FYR",10.2,1.47,4.54,4650,11600,74.2,2070000
Madagascar,58.7,4.52,0.108,407,1370,61.1,21700000
Malawi,83.2,5.15,0.0756,467,1050,54.5,15600000
Malaysia,7.9,2.13,7.7,9380,21800,74.6,28600000
Maldives,12,2.22,2.63,7490,11100,78.3,375000
Mali,131,6.47,0.0673,709,1880,60,15500000
Malta,6.9,1.4,6.07,21300,28600,80.4,418000
Mauritania,94.6,4.94,0.644,1220,3370,68.6,3720000
Mauritius,14.9,1.54,3.13,8310,16600,73.8,1250000
Mexico,16.8,2.32,4.07,9210,15900,75.8,119000000
"Micronesia, Fed. Sts.",38.8,3.4,1.17,2960,3410,65.4,103000
Moldova,17,1.27,1.24,1740,4180,71.5,4080000
Mongolia,24,2.72,7.79,3050,8880,66.6,2760000
Montenegro,6.1,1.75,4.11,6890,14500,76.4,625000
Morocco,32.3,2.58,1.76,2940,6690,73.8,32900000
Mozambique,95.3,5.52,0.129,436,955,55,24900000
Myanmar,61.8,2.36,0.283,1030,3900,67.4,50600000
Namibia,54,3.6,1.28,5350,8720,60.1,2220000
Nepal,44.6,2.49,0.202,606,2030,68.7,27300000
Netherlands,4.3,1.76,10.4,50900,46100,80.9,16700000
New Zealand,6.1,2.1,7.13,34300,32700,81,4420000
Nicaragua,23.6,2.38,0.84,1600,4230,77.5,5810000
Niger,116,7.46,0.0778,343,802,59.3,17100000
Nigeria,125,5.8,0.588,2380,5260,61.3,163000000
Norway,3.1,1.88,9.13,87500,62100,81.2,4950000
Oman,11.5,2.9,16.7,17900,42100,76.4,3240000
Pakistan,90.1,3.8,0.93,1050,4310,65.8,174000000
Palestine,22.4,4.35,0.538,2440,2670,72.1,4180000
Panama,19.1,2.61,2.72,8840,16900,77.9,3710000
Papua New Guinea,63.3,3.93,0.733,1980,2260,59,7270000
Paraguay,23.3,2.68,0.845,3320,7510,74.1,6290000
Peru,19.2,2.53,1.67,5270,10400,78.1,29800000
Philippines,31.1,3.11,0.897,2170,5710,69.2,95300000
Poland,5.7,1.36,8.27,13200,22900,76.5,38300000
Portugal,3.8,1.31,4.48,22200,26800,80.1,10600000
Qatar,8.9,2.03,41.2,72700,129000,80,1950000
Romania,11,1.48,4.18,8440,18100,74.5,20300000
Russia,9.5,1.59,12.3,11200,24100,69.8,143000000
Rwanda,56.6,4.39,0.0631,593,1420,65.3,10500000
Samoa,18.9,4.28,1.07,3620,5670,71.5,188000
Sao Tome and Principe,42.9,4.74,0.574,1150,2700,69.3,179000
Saudi Arabia,15.2,2.87,17.7,20600,48500,75.3,28200000
Senegal,62.6,5.04,0.629,991,2160,64.4,13300000
Serbia,7.4,1.58,5.47,5530,13000,74.8,8990000
Seychelles,14.5,2.37,3.71,12000,22600,73.5,91800
Sierra Leone,150,5.06,0.136,415,1250,55.7,6610000
Singapore,2.8,1.26,8.74,48500,75000,82.9,5180000
Slovak Republic,6.8,1.37,6.38,17000,25800,75.9,5410000
Slovenia,3,1.54,7.35,23500,28800,79.8,2050000
Solomon Islands,27.8,4.17,0.367,1430,1970,62,540000
South Africa,49.8,2.57,9,7420,12200,55.8,52300000
South Korea,4,1.21,11.8,22700,31200,80.4,49700000
Spain,3.7,1.35,5.77,30300,32100,82.2,46900000
Sri Lanka,10.9,2.17,0.745,3030,9210,76,20300000
St. Lucia,15.1,1.52,2.34,8000,10800,76,174000
St. Vincent and the Grenadines,20.1,2.05,1.81,6200,9870,71.7,109000
Sudan,74.7,4.83,0.445,1590,3630,66.5,35200000
Suriname,23.3,2.5,3.7,8700,14900,70.5,532000
Swaziland,84.1,3.44,0.856,3700,7320,48.9,1230000
Sweden,3,1.9,5.47,53100,43800,81.7,9470000
Switzerland,4.5,1.51,4.66,75000,55900,82.5,7930000
Tajikistan,50.8,3.5,0.301,775,2210,69.9,7820000
Tanzania,68.5,5.36,0.17,734,2190,59.9,47600000
Thailand,14.4,1.54,4.12,5090,13500,76.9,67500000
Timor-Leste,60,6.11,0.217,3950,1960,71.6,1130000
Togo,87.7,4.8,0.369,498,1230,59.6,6680000
Tonga,17.5,3.86,0.982,3630,5100,70,105000
Trinidad and Tobago,21.7,1.8,35.2,16600,31000,72.7,1330000
Tunisia,16.5,2.18,2.42,4010,10100,77,10800000
Turkey,17.8,2.14,4.37,11700,19700,78.2,73400000
Turkmenistan,60,2.89,12.1,5010,11200,68.4,5170000
Uganda,75.5,6.06,0.122,629,1630,57.7,35100000
Ukraine,11.2,1.47,6.28,3140,8280,71.1,45600000
United Arab Emirates,8.3,1.84,19.1,35700,58400,76.5,8670000
United Kingdom,5,1.89,7.02,39200,36500,80.5,63800000
United States,7.2,1.9,17,48800,49800,78.8,311000000
Uruguay,10.2,2.06,2.29,12500,17900,76.4,3390000
Uzbekistan,34,2.42,3.91,1450,4470,69,29100000
Vanuatu,29.3,3.46,0.546,2930,2920,63.2,242000
Venezuela,17.1,2.44,6,13900,17000,75.4,29500000
Vietnam,23.1,1.95,1.7,1380,4720,73.3,89400000
Yemen,55.5,4.55,0.811,1110,3810,67.7,24300000
Zambia,79.9,5.32,0.206,1500,3360,53.2,14300000
Zimbabwe,83.8,4.02,0.665,814,1660,51.9,14400000
