"country","population","PC1","PC2"
"Afghanistan",17.21,-2.88136861783791,1.06028193266215
"Albania",14.89,0.37477392136714,-1.36687616877509
"Algeria",17.42,0.0677389491077904,-0.686184497843075
"Angola",17,-2.87039285422886,1.56443799188593
"Antigua and Barbuda",11.47,0.901853958213457,-0.72077883988826
"Argentina",17.55,0.699258456686927,-0.618068880516886
"Armenia",14.87,0.164878293571706,-1.38865437089857
"Australia",16.93,3.42840070027884,1.16222735869071
"Austria",15.95,2.86398542603349,0.35327646409532
"Azerbaijan",16.03,-0.039878344016832,-0.463042293261064
"Bahamas",12.81,1.20796560206009,-0.24019594304844
"Bahrain",14.06,2.58825463542988,1.14163582366199
"Bangladesh",18.85,-0.751169742431662,-0.945357996413964
"Barbados",12.55,0.96265556169233,-0.739288548079676
"Belarus",16.06,0.720560150540661,-0.757961716504169
"Belgium",16.21,2.67620046290622,0.439535540462456
"Belize",12.7,-0.238328730029335,-0.889356058600334
"Benin",16.06,-2.76550407691545,1.06365423023328
"Bhutan",13.52,-0.4606351930562,-0.889483186423182
"Bolivia",16.13,-0.759548931519881,-0.558995989882208
"Bosnia and Herzegovina",15.12,0.875121820932437,-1.26777296974376
"Botswana",14.53,-1.1232325450523,0.245805525996646
"Brazil",19.11,0.487804203392388,-0.919332989268173
"Brunei",12.88,4.08537961214515,2.45929392792379
"Bulgaria",15.81,0.842042017558925,-0.874621393315198
"Burkina Faso",16.59,-3.13558599715422,1.31788141032215
"Burundi",16.02,-3.03886680127063,1.15240841416863
"Cambodia",16.49,-1.06927182813221,-0.677866764310724
"Cameroon",16.84,-2.83956169296498,1.09106203805821
"Canada",17.36,3.26068777827014,0.898345609979059
"Cape Verde",13.14,-0.338196068298865,-0.972726669853306
"Central African Republic",15.32,-3.9229580097869,1.93026237719137
"Chad",16.33,-3.80330745509518,2.02955123317678
"Chile",16.66,1.15414448128208,-0.887628063040231
"China",21.04,0.670417659781809,-0.957136133826051
"Colombia",17.65,0.356099789690316,-1.1914386572556
"Comoros",13.47,-2.21848388379731,0.467588535221163
"Congo, Dem. Rep.",18.02,-3.3837958212038,1.5187692881404
"Congo, Rep.",15.32,-2.04939203794781,0.514787744645317
"Costa Rica",15.34,0.735706835189585,-1.36247327324405
"Cote d'Ivoire",16.86,-2.97769900715771,1.21782397297564
"Croatia",15.28,1.16161881225703,-0.92146904107145
"Cuba",16.25,0.894778345559835,-1.24011782805614
"Cyprus",13.93,2.14525341510247,-0.343702961619944
"Czech Republic",16.18,1.89444188681062,-0.299459826252377
"Denmark",15.53,2.9452159834968,0.678344048967114
"Dominican Republic",16.12,-0.10470543976579,-0.727217194312796
"Ecuador",16.54,0.0865714169506085,-0.925017850786557
"Egypt",18.27,-0.48910965905769,-0.521543679400859
"El Salvador",15.64,-0.0537752345630898,-1.21889360559038
"Equatorial Guinea",13.81,-1.30021041915196,2.47436785486845
"Eritrea",15.31,-1.95703391897457,0.109448097161798
"Estonia",14.1,1.80659456043156,-0.100004969925834
"Ethiopia",18.32,-2.30035063294211,0.452421839282172
"Fiji",13.67,-0.654931041377724,-0.668984557971303
"Finland",15.5,2.8216837272477,0.568954573890098
"France",17.96,2.31816158582723,0.0201449419564915
"Gabon",14.35,-1.17264078673634,0.705229451587308
"Gambia",14.38,-2.33819493430657,0.613574260692988
"Georgia",15.24,0.0386098343717764,-1.22965930694111
"Germany",18.21,2.81168696447592,0.335422600161818
"Ghana",17.04,-1.96497242940779,0.293487555625456
"Greece",16.25,1.90046709847897,-0.601751514434046
"Grenada",11.56,0.0943729018835159,-0.884720004984674
"Guatemala",16.52,-0.704669176009402,-0.63632638386624
"Guinea",16.21,-2.94004060691873,1.11266752890013
"Guinea-Bissau",14.29,-3.01996832100022,1.15128430728008
"Guyana",13.53,-0.767100580582234,-0.48310882670768
"Haiti",16.13,-1.95212612504681,0.0871082537153227
"Honduras",15.94,-0.482716426003277,-1.00419687134696
"Hungary",16.11,1.15572671525557,-0.849031599221
"Iceland",12.69,2.45046612384619,0.109105330607526
"India",20.95,-1.03910071916468,-0.446273634134723
"Indonesia",19.32,-0.369483188969838,-0.693115108319717
"Iran",18.14,0.809833997213742,-0.601067202425571
"Iraq",17.27,-0.881144690563329,0.334102916950547
"Ireland",15.35,2.768344866287,0.590713317758592
"Israel",15.84,1.89071418213774,0.243211209343419
"Italy",17.91,2.41954254579509,-0.19451636576161
"Jamaica",14.86,0.154075070311306,-1.10037481064992
"Japan",18.68,2.81031385239675,0.107041721758725
"Jordan",15.84,-0.216907297642193,-0.658182543402247
"Kazakhstan",16.62,0.854918013377554,0.588592880654553
"Kenya",17.57,-1.8263212462911,0.0927244404776625
"Kiribati",11.56,-1.86815267098206,0.100577123504321
"Kuwait",14.98,4.3063479476496,2.71503344359986
"Kyrgyz Republic",15.52,-0.781807461948814,-0.785355833443305
"Lao",15.66,-1.60350290895048,-0.0643835706378375
"Latvia",14.55,0.856120303321265,-0.90641189462102
"Lebanon",15.34,0.948045553656259,-1.14127387248836
"Lesotho",14.54,-2.77536226931979,0.930410976074999
"Liberia",15.22,-2.47822471484324,0.626599127200739
"Libya",15.64,-0.336067649694449,-0.193900383790642
"Lithuania",14.94,1.00746423296389,-0.763836159081232
"Luxembourg",13.16,6.01146718798202,3.52157420211819
"Macedonia, FYR",14.54,0.573702671776575,-1.1735865302338
"Madagascar",16.89,-2.07171499470983,0.201526377114948
"Malawi",16.56,-2.87002836017844,0.9286762051841
"Malaysia",17.17,0.962222979436464,-0.474285305000627
"Maldives",12.83,0.495615090803496,-1.16294360901738
"Mali",16.56,-3.47647239629428,1.72972407766508
"Malta",12.94,1.7880029699691,-0.634516243528214
"Mauritania",15.13,-2.12246290596329,0.58756494781047
"Mauritius",14.04,0.588994115970044,-0.991085004801243
"Mexico",18.59,0.516934952064512,-0.73891111443302
"Micronesia, Fed. Sts.",11.54,-1.15224637067825,-0.36633668653095
"Moldova",15.22,-0.0151467013699849,-1.50421711778411
"Mongolia",14.83,-0.216040741933849,-0.213521813113761
"Montenegro",13.35,0.745727766351628,-1.14052982012366
"Morocco",17.31,-0.317373780702794,-0.891864711581721
"Mozambique",17.03,-3.08438188031222,1.17060817628721
"Myanmar",17.74,-1.11653117345735,-0.562555319512964
"Namibia",14.61,-1.47385841497287,0.252160409414826
"Nepal",17.12,-0.943573808861095,-0.838562638773682
"Netherlands",16.63,3.05212975482656,0.732585548202993
"New Zealand",15.3,2.080604966059,-0.0188549712694539
"Nicaragua",15.58,-0.113550856691053,-1.34266382751667
"Niger",16.65,-3.64082715510201,1.83844212420328
"Nigeria",18.91,-3.01471942288591,1.55237175237024
"Norway",15.41,4.14320754182233,1.77654513290719
"Oman",14.99,1.98249345689502,0.987090847443458
"Pakistan",18.97,-1.868418081159,0.331102708100379
"Palestine",15.25,-0.946335393728409,-0.602526040782001
"Panama",15.13,0.452100541444977,-0.781423013850886
"Papua New Guinea",15.8,-1.97888584922909,0.255015373825245
"Paraguay",15.65,-0.253479085622255,-1.02101655027634
"Peru",17.21,0.195763175020606,-1.10301675953804
"Philippines",18.37,-0.773118402832332,-0.674169865136174
"Poland",17.46,1.43777639169583,-0.658970011559488
"Portugal",16.18,1.7178479112299,-0.819823571788465
