Mortality,Newborn,CO2,GDPpp,Income,LifeExp,Population,country
-0.888055124,-0.884640208,1.500353846,0.178969893,0.401412904,0.655596742,-0.262696461,Estonia
1.105579052,1.270761025,-0.731349249,-0.675223012,-0.815447738,-1.02460291,0.359427757,Ethiopia
-0.342574662,-0.197903537,-0.543018927,-0.489769595,-0.485425122,-0.631364693,-0.26594495,Fiji
-0.924051297,-0.748652749,0.9389877,1.917249687,1.246020547,1.132249125,-0.234210791,Finland
-0.888055124,-0.639862781,0.095334577,1.590630236,1.07918447,1.29907746,0.17209589,France
0.684700726,0.760808052,-0.27516708,-0.194151311,-0.046959055,-0.893523504,-0.260100476,Gabon
1.138806288,1.869105847,-0.704050815,-0.666808409,-0.795635954,-0.571783145,-0.259749668,Gambia
-0.580703189,-0.667060273,-0.438765214,-0.517449209,-0.494288288,0.262358526,-0.242770525,Georgia
-0.890824061,-1.034226414,0.706421725,1.745636077,1.350293096,1.132249125,0.295580567,Germany
0.980976916,0.883196766,-0.682398121,-0.614881452,-0.698662483,-0.941188743,-0.095921986,Ghana
-0.896361933,-1.04782516,0.37601765,0.660595186,0.484830943,1.156081744,-0.192043581,Greece
-0.597316807,-0.483477202,-0.35857005,-0.286601224,-0.291999544,0.059781263,-0.271291275,Grenada
-0.060143154,0.244055706,-0.6180816,-0.536271347,-0.5193137,0.083613882,-0.167486969,Guatemala
1.930722086,1.583532182,-0.704692377,-0.658670603,-0.812840924,-1.465506364,-0.194850051,Guinea
2.013790176,1.399949112,-0.720410629,-0.663819011,-0.798242767,-1.739581485,-0.260802094,Guinea-Bissau
0.017387064,-0.20470291,-0.36338176,-0.519109986,-0.556330455,-0.607532074,-0.266772859,Guyana
1.133268415,0.216858214,-0.709985257,-0.657563418,-0.794593228,-1.227180173,-0.201164608,Haiti
-0.381339771,-0.102712316,-0.573493089,-0.586648246,-0.664773905,0.119362811,-0.213442914,Honduras
-0.843752143,-1.088621397,0.029574543,0.04057182,0.30756761,0.488768408,-0.202567843,Hungary
-0.935127042,-0.605865916,0.188360967,1.657061311,1.183457018,1.346742698,-0.269761749,Iceland
0.543484972,-0.27269664,-0.507733054,-0.617095822,-0.634013503,-0.500285288,8.49819051,India
-0.121059754,-0.313492878,-0.350550533,-0.51523484,-0.415041151,-0.071298143,1.453951024,Indonesia
-0.494866162,-0.796248359,0.505933815,-0.32922783,0.057313494,0.476852098,0.257693223,Iran
-0.007533363,1.107576074,-0.065055751,-0.43551755,-0.182513368,-0.381122192,-0.049615233,Iraq
-0.890824061,-0.633063408,0.480271363,2.066719606,1.496274664,1.156081744,-0.239332599,Ireland
-0.882517252,0.053673263,0.719252951,1.04810979,0.71423055,1.28716115,-0.21891553,Israel
-0.896361933,-1.020627668,0.323088842,1.297226321,1.01662094,1.310993769,0.147539279,Italy
-0.514248716,-0.537872186,-0.299225629,-0.433303181,-0.453621994,0.476852098,-0.252172199,Jamaica
-0.910206615,-1.04782516,0.741707597,1.767779769,0.990552803,1.406324246,0.633058574,Japan
-0.436718498,0.48203376,-0.286394402,-0.497519887,-0.39575073,0.631764123,-0.21891553,Jordan
-0.469945735,-0.1571073,1.75697837,-0.164257327,0.234576826,-0.214293858,-0.155559472,Kazakhstan
0.651473489,0.910394258,-0.694267005,-0.640402057,-0.742456954,-0.833941956,0.026159455,Kenya
0.698545408,0.604422474,-0.649518104,-0.61432786,-0.786772787,-1.191431244,-0.271291275,Kiribati
-0.71638107,-0.531072813,3.826013595,1.502055469,3.164635441,0.965420791,-0.249646376,Kuwait
-0.234586144,0.074071382,-0.522168184,-0.644720077,-0.723687895,-0.202377548,-0.23336885,Kyrgyz Republic
1.100041179,0.087670128,-0.704050815,-0.628167667,-0.654868013,-0.73861148,-0.227615587,Lao
-0.802218097,-0.966232684,-0.185348496,-0.014787409,0.156372415,0.333856383,-0.257364168,Latvia
-0.732994688,-0.877840835,-0.029769878,-0.227920441,-0.05738631,0.977337101,-0.239823731,Lebanon
1.709207177,0.237256333,-0.563869669,-0.627060483,-0.74558513,-2.776300419,-0.257574653,Lesotho
1.338169706,1.365952247,-0.709985257,-0.676662352,-0.837657791,-1.119933386,-0.243472142,Liberia
-0.519786589,-0.361088489,0.28299126,-0.442160658,-0.291999544,-1.167598625,-0.228597852,Libya
-0.852058952,-0.945834565,-0.026562072,0.023964052,0.317994865,0.321940073,-0.250418155,Lithuania
-0.926820233,-0.925436446,2.623086139,5.117013131,3.920611418,1.27524484,-0.268379563,Luxembourg
-0.721918943,-0.993430176,-0.016938652,-0.438285512,-0.271145034,0.405354241,-0.257504492,"Macedonia, FYR"
0.62101519,1.080378582,-0.727788584,-0.673174721,-0.80449912,-1.155682315,-0.119776981,Madagascar
1.299404597,1.50873908,-0.73298523,-0.669853167,-0.821182728,-1.942158748,-0.162575647,Malawi
-0.785604479,-0.544671559,0.489894783,-0.176436358,0.260644963,0.453019479,-0.071365375,Malaysia
-0.672078088,-0.483477202,-0.323284178,-0.281065301,-0.297213171,0.893922934,-0.269396908,Maldives
2.622956175,2.406256313,-0.73431647,-0.656456234,-0.77790962,-1.286761721,-0.163277264,Mali
-0.813293843,-1.041025787,0.228458549,0.483445653,0.615171628,1.144165435,-0.269095212,Malta
1.615063341,1.365952247,-0.641819368,-0.628167667,-0.700226572,-0.261959096,-0.245927803,Mauritania
-0.591778934,-0.945834565,-0.243089014,-0.235670733,-0.010463663,0.357689002,-0.263257755,Mauritius
-0.539169143,-0.415483473,-0.092322106,-0.185847427,-0.046959055,0.596015194,0.562896826,Mexico
0.069996855,0.318848809,-0.557454056,-0.531842609,-0.698141121,-0.643281003,-0.271305308,"Micronesia, Fed. Sts."
-0.533631271,-1.129417635,-0.546226733,-0.599380868,-0.657996189,0.083613882,-0.24340198,Moldova
-0.339805726,-0.143508554,0.504329912,-0.526860278,-0.4129557,-0.500285288,-0.252663331,Mongolia
-0.835445333,-0.803047732,-0.085906493,-0.314280838,-0.119949839,0.667513051,-0.267642864,Montenegro
-0.109984008,-0.238699775,-0.462823763,-0.532949793,-0.527134141,0.357689002,-0.041195823,Morocco
1.634445896,1.76031588,-0.724420387,-0.671569303,-0.826135674,-1.8825772,-0.097325221,Mozambique
0.706852217,-0.388285981,-0.699720277,-0.638685921,-0.672594346,-0.404954811,0.082990471,Myanmar
0.490875181,0.454836268,-0.53981112,-0.399534051,-0.421297504,-1.274845411,-0.256452065,Namibia
0.230595163,-0.299894132,-0.712711893,-0.662158234,-0.770089179,-0.250042787,-0.080486402,Nepal
-0.885286188,-0.796248359,0.922948667,2.122078835,1.527556428,1.203746983,-0.154857855,Netherlands
-0.835445333,-0.565069678,0.398472296,1.203115632,0.828930353,1.215663292,-0.241016481,New Zealand
-0.350881471,-0.374687235,-0.610382864,-0.60713116,-0.655389376,0.798592457,-0.231263998,Nicaragua
2.207615721,3.079394237,-0.732632372,-0.676717711,-0.834112524,-1.370175888,-0.152051385,Niger
2.456819993,1.950698323,-0.650801227,-0.563950962,-0.601689013,-1.131849696,0.871608517,Nigeria
-0.918513424,-0.714655884,0.719252951,4.148226621,2.361736817,1.239495912,-0.237297908,Norway
-0.68592277,-0.02111984,1.93340773,0.295224274,1.319011331,0.667513051,-0.249295567,Oman
1.490461205,0.590823728,-0.595947735,-0.637578736,-0.651218474,-0.595615765,0.948786439,Pakistan
-0.384108708,0.964789242,-0.658820743,-0.560629408,-0.736721964,0.155111739,-0.242700363,Palestine
-0.475483607,-0.218301656,-0.308849048,-0.206330342,0.005177219,0.846257695,-0.245997965,Panama
0.748386262,0.679215576,-0.627544629,-0.586094653,-0.758097836,-1.405924816,-0.221020383,Papua New Guinea
-0.35918828,-0.170706046,-0.609580912,-0.511913286,-0.484382396,0.393437931,-0.227896234,Paraguay
-0.472714671,-0.27269664,-0.477258892,-0.40396279,-0.333708563,0.870090314,-0.062945965,Peru
-0.143211245,0.121666992,-0.601240615,-0.5755764,-0.57822769,-0.190461239,0.396613484,Philippines
-0.846521079,-1.068223278,0.581317269,0.035035897,0.317994865,0.679429361,-0.003308479,Poland
-0.89913087,-1.102220143,-0.026562072,0.533268959,0.521326335,1.108416506,-0.197656521,Portugal
-0.757915116,-0.612665289,5.862970755,3.32891003,5.849653566,1.096500197,-0.258346433,Qatar
-0.699767452,-0.986630803,-0.07467917,-0.228474033,0.067740749,0.441103169,-0.129599625,Romania
-0.741301497,-0.9118377,1.227690289,-0.075682561,0.380558394,-0.118963381,0.731285021,Russia
0.562867526,0.991986733,-0.73499011,-0.662877904,-0.801892306,-0.655197313,-0.198358138,Rwanda
-0.48102148,0.917193631,-0.573493089,-0.495305518,-0.580313141,0.083613882,-0.270708933,Samoa
0.183523245,1.229964788,-0.653046691,-0.632042814,-0.735157875,-0.178544929,-0.270772078,Sao Tome and Principe
-0.583472125,-0.041517959,2.093798058,0.444694193,1.652683487,0.536433646,-0.074171845,Saudi Arabia
0.729003707,1.433945977,-0.644225223,-0.640844931,-0.763311463,-0.762444099,-0.178712849,Senegal
-0.799449161,-0.918637073,0.132224352,-0.38956939,-0.19815425,0.476852098,-0.208952562,Serbia
-0.60285468,-0.381486608,-0.150062624,-0.031395178,0.302353983,0.321940073,-0.271383889,Seychelles
3.149054082,1.447544723,-0.723297655,-0.672731847,-0.810755473,-1.799163033,-0.225651058,Sierra Leone
-0.926820233,-1.136217008,0.656700723,1.989216685,3.034294755,1.442073175,-0.235684188,Singapore
-0.816062779,-1.061423905,0.27817955,0.245400968,0.46919006,0.607931504,-0.234070468,Slovak Republic
-0.92128236,-0.945834565,0.433758168,0.605235957,0.625598883,1.072667577,-0.257644815,Slovenia
-0.234586144,0.842400528,-0.686247489,-0.616542229,-0.773217356,-1.048435529,-0.268239239,Solomon Islands
0.374579854,-0.245499148,0.698402209,-0.284940447,-0.23986327,-1.787246723,0.094917968,South Africa
-0.893592997,-1.170213873,1.147495126,0.560948574,0.750725942,1.144165435,0.076675913,South Korea
-0.901899806,-1.075022651,0.180341451,0.981678715,0.797648588,1.358659007,0.057030624,Spain
-0.702536388,-0.517474067,-0.625619945,-0.527967463,-0.39575073,0.619847813,-0.129599625,Sri Lanka
-0.586241061,-0.959433311,-0.369797373,-0.252832094,-0.312854054,0.619847813,-0.270807159,St. Lucia
-0.447794244,-0.599066543,-0.454804246,-0.352478706,-0.361340789,0.107446501,-0.27126321,St. Vincent and the Grenadines
1.064045006,1.291159144,-0.673737043,-0.607684753,-0.68667114,-0.512201597,-0.025058621,Sudan
-0.35918828,-0.293094759,-0.151666527,-0.214080634,-0.099095329,-0.035549214,-0.268295369,Suriname
1.324325024,0.346046301,-0.607816619,-0.490876779,-0.494288288,-2.609472085,-0.263398079,Swaziland
-0.92128236,-0.701057138,0.132224352,2.243869139,1.407642998,1.29907746,-0.205584798,Sweden
-0.879748315,-0.966232684,0.002308187,3.456236257,2.038491916,1.394407936,-0.216389707,Switzerland
0.402269217,0.386842539,-0.696833251,-0.652802524,-0.76070465,-0.107047072,-0.217161487,Tajikistan
0.892370952,1.651525912,-0.717844384,-0.655072253,-0.761747375,-1.29867803,0.061941946,Tanzania
-0.605623616,-0.945834565,-0.08430259,-0.413927451,-0.172086113,0.727094599,0.201563825,Thailand
0.657011362,2.161478885,-0.710306038,-0.477036972,-0.773738718,0.095530191,-0.264099696,Timor-Leste
1.424006733,1.270761025,-0.685926708,-0.668137031,-0.811798199,-1.334426959,-0.225159926,Togo
-0.519786589,0.631619966,-0.587607438,-0.494751925,-0.610030817,-0.095130762,-0.271291275,Tonga
-0.403491262,-0.769050867,4.90062879,0.223257276,0.740298687,0.226609597,-0.262696461,Trinidad and Tobago
-0.547475952,-0.510674694,-0.356966147,-0.473715418,-0.349349446,0.739010909,-0.196253286,Tunisia
-0.51147978,-0.537872186,-0.044205008,-0.048002946,0.151158787,0.882006624,0.242959256,Turkey
