country,Mortality,Newborn,CO2,GDPpp,Income,LifeExp,Population
Saudi Arabia,15.2,2.87,17.7,9.93,10.79,75.3,17.15
Senegal,62.6,5.04,0.629,6.9,7.68,64.4,16.4
Serbia,7.4,1.58,5.47,8.62,9.47,74.8,16.01
Seychelles,14.5,2.37,3.71,9.39,10.03,73.5,11.43
Sierra Leone,150,5.06,0.136,6.03,7.13,55.7,15.7
Singapore,2.8,1.26,8.74,10.79,11.23,82.9,15.46
Slovak Republic,6.8,1.37,6.38,9.74,10.16,75.9,15.5
Slovenia,3,1.54,7.35,10.06,10.27,79.8,14.53
Solomon Islands,27.8,4.17,0.367,7.27,7.59,62,13.2
South Africa,49.8,2.57,9,8.91,9.41,55.8,17.77
South Korea,4,1.21,11.8,10.03,10.35,80.4,17.72
Spain,3.7,1.35,5.77,10.32,10.38,82.2,17.66
Sri Lanka,10.9,2.17,0.745,8.02,9.13,76,16.83
St. Lucia,15.1,1.52,2.34,8.99,9.29,76,12.07
St. Vincent and the Grenadines,20.1,2.05,1.81,8.73,9.2,71.7,11.6
Sudan,74.7,4.83,0.445,7.37,8.2,66.5,17.38
Suriname,23.3,2.5,3.7,9.07,9.61,70.5,13.18
Swaziland,84.1,3.44,0.856,8.22,8.9,48.9,14.02
Sweden,3,1.9,5.47,10.88,10.69,81.7,16.06
Switzerland,4.5,1.51,4.66,11.23,10.93,82.5,15.89
Tajikistan,50.8,3.5,0.301,6.65,7.7,69.9,15.87
Tanzania,68.5,5.36,0.17,6.6,7.69,59.9,17.68
Thailand,14.4,1.54,4.12,8.54,9.51,76.9,18.03
Timor-Leste,60,6.11,0.217,8.28,7.58,71.6,13.94
Togo,87.7,4.8,0.369,6.21,7.11,59.6,15.71
Tonga,17.5,3.86,0.982,8.2,8.54,70,11.56
Trinidad and Tobago,21.7,1.8,35.2,9.72,10.34,72.7,14.1
Tunisia,16.5,2.18,2.42,8.3,9.22,77,16.2
Turkey,17.8,2.14,4.37,9.37,9.89,78.2,18.11
Turkmenistan,60,2.89,12.1,8.52,9.32,68.4,15.46
Uganda,75.5,6.06,0.122,6.44,7.4,57.7,17.37
Ukraine,11.2,1.47,6.28,8.05,9.02,71.1,17.64
United Arab Emirates,8.3,1.84,19.1,10.48,10.98,76.5,15.98
United Kingdom,5,1.89,7.02,10.58,10.51,80.5,17.97
United States,7.2,1.9,17,10.8,10.82,78.8,19.56
Uruguay,10.2,2.06,2.29,9.43,9.79,76.4,15.04
Uzbekistan,34,2.42,3.91,7.28,8.41,69,17.19
Vanuatu,29.3,3.46,0.546,7.98,7.98,63.2,12.4
Venezuela,17.1,2.44,6,9.54,9.74,75.4,17.2
Vietnam,23.1,1.95,1.7,7.23,8.46,73.3,18.31
Yemen,55.5,4.55,0.811,7.01,8.25,67.7,17.01
Zambia,79.9,5.32,0.206,7.31,8.12,53.2,16.48
Zimbabwe,83.8,4.02,0.665,6.7,7.41,51.9,16.48
